eventID,occurrenceID,basisOfRecord,eventDate,kingdom,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,Latitude,Longitude,Pollution Score,Classification,Endlatitude,Endlongitude,geodeticDatum,countryCode,Taxon
S2CR_B,S2CR_B4,Audiomoth,10/09/2025,Animalia,Chiroptera,Plecotus_auritus,Brown_long-eared_bat,Species,N/A,N/A,N/A,Present,N55 41.791,W005 17.028,,Protected,N/A,N/A,WGS84,GB,Bats
N2CR_A,N2CR_A1,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano_pipistrelle,Species,8,N/A,N/A,Present,N55 42.4563,W005 16.7708,,Protected,N/A,N/A,WGS84,GB,Bats
N2CR_A,N2CR_A2,Audiomoth,10/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common_pipistrelle,Species,110,N/A,N/A,Present,N55 42.4563,W005 16.7708,,Protected,N/A,N/A,WGS84,GB,Bats
N1CR_C,N1CR_C1,Audiomoth,11/09/2025,Animalia,Chiroptera,Pipistrellus pygmaeus,Soprano_pipistrelle,Species,2,N/A,N/A,Present,N55 42.4782,W005 16.5820,,Protected,N/A,N/A,WGS84,GB,Bats
N2CR_A,N2CR_A1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common pipistrelle,Species,26,N/A,N/A,Present,N55 42.1536,W005 16.1095,,Protected,N/A,N/A,WGS84,GB,Bats
N2CR_A,N2CR_A2,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano pipistrelle,Species,15,N/A,N/A,Present,N55 42.1536,W005 16.1095,,Protected,N/A,N/A,WGS84,GB,Bats
N1CR_B,N1CR_B1,Audiomoth,09/11/2025,Animalia,Chiroptera,Pipistrellus_pygmaeus,Soprano pipistrelle,Species,2,N/A,N/A,Present,N55 42.5095,W005 16.3155,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_C,S3CR_B1,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_nathusii,Nathusius' pipistrelle,Species,2,N/A,N/A,Present,,,,Protected,N/A,N/A,WGS84,GB,Bats
S3CR_C,S3CR_B2,Audiomoth,09/09/2025,Animalia,Chiroptera,Pipistrellus_pipistrellus,Common pipistrelle,Species,262,N/A,N/A,Present,,,,Protected,N/A,N/A,WGS84,GB,Bats
N1B,N1B_1,Humanobservation,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,6,6,Individual,Present,,,,Protected,,,WGS84,SCO,Birds
S2B,S2B_1,Humanobservation,11/09/2025,Animalia,Vertebrata,Falco tinnunculus,Common kestrel,Species,1,1,Individual,Present,,,,Schedule1Protection,,,TRF (OS),SCO,Birds
N3B,N3B_1,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,3,3,Flock,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_2,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,4,4,Flock,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_3,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_4,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_5,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_6,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_7,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_8,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,1,1,Individual,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,2,2,Flock,Present,,,,Protected,,,TRF (OS),SCO,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Motacilla alba,Pied wagtail,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Erithacus rubecula,European robin,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Cyanistes caeruleus,Blue tit,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Coloeus monedula,Western jackdaw,Species,15,15,Flock,Present,,,,Protected,,,,,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Turdus spp,Unidentified thrush,Genus,1,1,Flock,Present,,,,Protected,,,,,Birds
N3B,N3B_,Humanobservation,12/09/2025,Animalia,Vertebrata,Periparus ater,Coal tit,Species,1,1,Flock,Present,,,,Protected,,,,,Birds
N3B_OoB,N3B_OoB_1,Humanobservation,12/09/2025,Animalia,Vertebrata,Coloeus monedula,Western jackdaw,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
N2B,N2B_1,Humanobservation,11/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,Schedule1Protection,,,,,Birds
N2B,N2B_2,Humanobservation,11/09/2025,Animalia,Vertebrata,Corvus corone,Carrion crow,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
N2B,N2B_3,Humanobservation,11/09/2025,Animalia,Vertebrata,Turdus philomelos,Song thrush,Species,3,3,Flock,Present,,,,Protected,,,,,Birds
N2B,N2B_4,Humanobservation,11/09/2025,Animalia,Vertebrata,Unidentified,,Unidentified,1,1,Individual,Present,,,,Protected,,,,,Birds
N2B,N2B_5,Humanobservation,11/09/2025,Animalia,Vertebrata,Alauda arvensis,Skylark,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S3B,S3B_1,Humanobservation,12/09/2025,Animalia,Vertebrata,Columba palumbus,Wood pigeon,Species,5,5,Flock,Present,,,,Protected,,,,,Birds
S3B,S3B_2,Humanobservation,12/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,6,6,Flock,Present,,,,Protected,,,,,Birds
S3B,S3B_3,Humanobservation,12/09/2025,Animalia,Vertebrata,Corvus corax,Common raven,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S3B,S3B_4,Humanobservation,12/09/2025,Animalia,Vertebrata,Turdus philomelos,Song thrush,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
NB_I,NB_I_1,Humanobservation,11/09/2025,Animalia,Vertebrata,Alauda arvensis,Skylark,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
NB_I,NB_I_2,Humanobservation,11/09/2025,Animalia,Vertebrata,Falco tinnunculus,Common kestrel,Species,1,1,Individual,Present,,,,Schedule1Protection,,,,,Birds
S2B_OoB,S2B_OoB_1,Humanobservation,11/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,Schedule1Protection,,,,,Birds
S2B_OoB,S2B_OoB_2,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
S2B_OoB,S2B_OoB_3,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S2B_OoB,S2B_OoB_3,HumanobservationCall,11/09/2025,Animalia,Vertebrata,Erithacus rubecula,European robin,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
N1B_OoB,N1B_OoB_1,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,2,2,Flock,Present,,,,Schedule1Protection,,,,,Birds
N1B_OoB,N1B_OoB_2,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,Schedule1Protection,,,,,Birds
S1B,S1B_1,Humanobservation,10/09/2025,Animalia,Vertebrata,Aquila chrysaetos,Golden eagle,Species,1,1,Individual,Present,,,,Schedule1Protection,,,,,Birds
S1B,S1B_2,Humanobservation,10/09/2025,Animalia,Vertebrata,Corvus corax,Common raven,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S1B,S1B_3,Humanobservation,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S1B,S1B_4,Humanobservation,10/09/2025,Animalia,Vertebrata,Certhia familiaris,Treecreeper,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
S1B,S1B_5,Humanobservation,10/09/2025,Animalia,Vertebrata,Troglodytes troglodytes,Eurasion wren,Species,2,2,Flock,Present,,,,Protected,,,,,Birds
S1B,S1B_6,Humanobservation,10/09/2025,Animalia,Vertebrata,Aegithalos caudatus,Long tailed tit,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
SIB_OoB,S1B_OoB_1,HumanobservationCall,10/09/2025,,,,Nest,,3,3,,,,,,Protected,,,,,Birds
SIB_OoB,S1B_OoB_2,HumanobservationCall,10/09/2025,Animalia,Vertebrata,Anthus pratensis,Meadow pipit,Species,1,1,Individual,Present,,,,Protected,,,,,Birds
S3TIP_E,S3TIP_E1,Human_observation ,09/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Indivdidual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIP_E,S3TIP_E2,Human_observation ,09/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,1,1,Indivdidual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIP_E,S3TIP_E3,Human_observation ,09/09/2025,Animalia,Poduromorpha,Poduromorpha,Springtail,Order,1,1,Indivdidual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIP_I,S3TIP_I1,Human_observation ,09/09/2025,Animalia,Coleoptera,Pterostichus_niger,Woodland_ground_beetle,Order,1,1,Indivdidual,Present,N55 41.843,W005 16.821,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIP_J,S3TIP_J1,Human_observation ,09/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Indivdidual,Present,N55 41.828,W005 16.810,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_A,S3TIN_A1,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 42.027,W005 17.134,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_A,S3TIN_A2,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 42.027,W005 17.134,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_A,S3TIN_A3,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 42.027,W005 17.134,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_B,S3TIN_B1,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,3,3,Individual,Present,N55 42.003,W005 17.094,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_B,S3TIN_B2,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 42.003,W005 17.094,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_B,S3TIN_B3,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 42.003,W005 17.094,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_B,S3TIN_B4,Human_observation ,10/09/2025,Animalia,Araneae,Linyphiidae,Money_spider,Family,1,1,Individual,Present,N55 42.003,W005 17.094,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_C,S3TIN_C1,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.979,W005 17.065,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_C,S3TIN_C2,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.979,W005 17.065,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_C,S3TIN_C3,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.979,W005 17.065,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_C,S3TIN_C4,Human_observation ,10/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.979,W005 17.065,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_D,S3TIN_D1,Human_observation ,10/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.949,W005 17.042,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_D,S3TIN_D2,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.949,W005 17.042,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_D,S3TIN_D3,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 41.949,W005 17.042,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E1,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,4,4,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E2,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E3,Human_observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,3,3,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E4,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E5,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_E,S3TIN_E6,Human_observation ,10/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.922,W005 17.005,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F1,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,1,1,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F2,Human_observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,2,2,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F3,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F4,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F5,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_F,S3TIN_F6,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,3,3,Individual,Present,N55 41.902,W005 16.956,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G1,Human_observation ,10/09/2025,Animalia,Hymenoptera,Formicidae,Ant,Family,1,1,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G2,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G3,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,2,2,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G4,Human_observation ,10/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G5,Human_observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,2,2,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_G,S3TIN_G6,Human_observation ,10/09/2025,Animalia,Araneae,Leiobunum_rotundum,Harverstman_spider,Species,1,1,Individual,Present,N55 41.907,W005 16.884,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_H,S3TIN_H1,Human_observation ,10/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.862,W005 16.861,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_H,S3TIN_H2,Human_observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,1,1,Individual,Present,N55 41.862,W005 16.861,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_I,S3TIN_I1,Human_observation ,10/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,2,2,Individual,Present,N55 41.843,W005 16.821,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_I,S3TIN_I2,Human_observation ,10/09/2025,Animalia,Araneae,Linyphiidae,Money_spider,Family,2,2,Individual,Present,N55 41.843,W005 16.821,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_I,S3TIN_I3,Human_observation ,10/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,1,1,Individual,Present,N55 41.843,W005 16.821,,NotInvasive,,,WGS84,GB,Invertebrates
S3TIN_J,S3TIN_J1,Human_observation ,10/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,3,3,Individual,Present,N55 41.828,W005 16.810,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIP_C,S2TIP_C1,Human_observation ,10/09/2025,Animalia,Coleoptera,Anoplotrupes_stercorosus,Dor_beetle,Species,1,1,Individual,Present,N55 41.914,W005 17.203,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_A,S2TIN_A1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,11,11,Individual,Present,N55 41.935,W005 17.240,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_A,S2TIN_A2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.935,W005 17.240,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_B,S2TIN_B1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,13,13,Individual,Present,N55 41.924,W005 17.220,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_B,S2TIN_B2,Human_observation ,11/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,1,1,Individual,Present,N55 41.924,W005 17.220,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_B,S2TIN_B3,Human_observation ,11/09/2025,Animalia,Lepidoptera,Lepidoptera,Caterpillar,Order,2,2,Individual,Present,N55 41.924,W005 17.220,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_C,S2TIN_C1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,19,19,Individual,Present,N55 41.914,W005 17.203,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_C,S2TIN_C2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.914,W005 17.203,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_D,S2TIN_D1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,48,48,Individual,Present,N55 41.894,W005 17.194,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_D,S2TIN_D2,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.894,W005 17.194,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_D,S2TIN_D3,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.894,W005 17.194,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_E,S2TIN_E1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,25,25,Individual,Present,N55 41.881,W005 17.177,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_E,S2TIN_E2,Human_observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.881,W005 17.177,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_E,S2TIN_E3,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.881,W005 17.177,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_E,S2TIN_E4,Human_observation ,11/09/2025,Animalia,Homoptera,Homoptera,Insect,Order,4,4,Individual,Present,N55 41.881,W005 17.177,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_F,S2TIN_F1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,1,1,Individual,Present,N55 41.867,W005 17.160,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_G,S2TIN_G1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.857,W005 17.140,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_G,S2TIN_G2,Human_observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.857,W005 17.140,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_H,S2TIN_H1,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.843,W005 17.134,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_H,S2TIN_H2,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,3,3,Individual,Present,N55 41.843,W005 17.134,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_I,S2TIN_I1,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,5,5,Individual,Present,N55 41.828,W005 17.120,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_J,S2TIN_J1,Human_observation ,11/09/2025,Animalia,Hemiptera,Hemiptera,True_bug,Order,1,1,Individual,Present,N55 41.817,W005 17.100,,NotInvasive,,,WGS84,GB,Invertebrates
S2TIN_J,S2TIN_J2,Human_observation ,11/09/2025,Animalia,Diptera,Diptera,Fly,Order,1,1,Individual,Present,N55 41.817,W005 17.100,,NotInvasive,,,WGS84,GB,Invertebrates
S1TIN_A,S1TIN_A1,Human_observation ,11/09/2025,Animalia,Araneae,Araneae,Spider,Order,2,2,Individual,Present,N55 41.870,W005 17.278,,NotInvasive,,,WGS84,GB,Invertebrates
S1TIN_A,S1TIN_A2,Human_observation ,11/09/2025,Animalia,Ixodida,Ixodoidea,Tick,Family,4,4,Individual,Present,N55 41.870,W005 17.278,,NotInvasive,,,WGS84,GB,Invertebrates
S1TIN_A,S1TIN_A3,Human_observation ,11/09/2025,Animalia,Coleoptera,Geotrupes_stercorarius,Dor_beetle,Species,1,1,Individual,Present,N55 41.870,W005 17.278,,NotInvasive,,,WGS84,GB,Invertebrates
